指标,历史值,合成值,相对误差%
mean,12169.924305126044,12132.58429842349,-0.31
std,7081.123141944448,7070.894139093911,-0.14
var,50142304.95138122,49997543.926272616,-0.29
skew,1.2160801050688363,1.3232944255889612,8.82
kurtosis,4.5570654797589505,5.356658006421786,17.55
最大日流量,65533.10352567408,73639.84857045133,12.37
峰值系数,5.384840684511994,6.0695929868808,12.72
高流量频率,0.1000228154232261,0.1,-0.02
高流量平均值,27127.3451943156,27078.55880275846,-0.18
高流量变异系数,0.17820415239453513,0.1975550139212822,10.86
丰水持续期均值,8.463320463320464,10.61046511627907,25.37
丰水持续期标准差,10.812424941604702,13.33858728278158,23.36
丰水持续期最大值,76.0,88.0,15.79
丰水持续期最小值,1.0,1.0,0.0
枯水持续期均值,3.825479930191972,5.399408284023669,41.14
枯水持续期标准差,5.714744148874602,5.98062004159146,4.65
枯水持续期最大值,64.0,63.0,-1.56
枯水持续期最小值,1.0,1.0,0.0
