,synthetic_flow
2025-01-01,5757.591028415693
2025-01-02,5883.801008819897
2025-01-03,6192.0979679886805
2025-01-04,6429.042794173754
2025-01-05,6721.871805524448
2025-01-06,6906.772269597226
2025-01-07,6726.753309409667
2025-01-08,6533.147252631911
2025-01-09,6405.741123364233
2025-01-10,6633.157251750957
2025-01-11,6894.9677326858155
2025-01-12,6966.798445385626
2025-01-13,6713.78979138391
2025-01-14,6499.929273999644
2025-01-15,6209.507620277792
2025-01-16,5879.326156891247
2025-01-17,5756.399144021433
2025-01-18,5678.007189049492
2025-01-19,5785.705383184744
2025-01-20,6067.331970265356
2025-01-21,6345.010540500606
2025-01-22,6573.706128278988
2025-01-23,6378.720615822867
2025-01-24,6213.354444458691
2025-01-25,6044.319634042167
2025-01-26,6061.566403794806
2025-01-27,6053.593190892293
2025-01-28,5862.115631516355
2025-01-29,5726.764719987541
2025-01-30,5592.080028342201
2025-01-31,5511.582791268754
2025-02-01,5460.719044656179
2025-02-02,5526.73951159754
2025-02-03,5583.325876829946
2025-02-04,5664.980915600055
2025-02-05,5638.6731005332385
2025-02-06,5571.090981801108
2025-02-07,5703.610706538911
2025-02-08,5801.507440699888
2025-02-09,5703.136808911516
2025-02-10,5825.591880158251
2025-02-11,6085.001452566254
2025-02-12,5862.8722251077115
2025-02-13,5767.473622356527
2025-02-14,5794.18646335633
2025-02-15,5696.784472269812
2025-02-16,5601.473890825248
2025-02-17,5521.259999394971
2025-02-18,5516.281181876231
2025-02-19,5464.67181399198
2025-02-20,5407.881050806545
2025-02-21,5332.304628841823
2025-02-22,5285.064618648877
2025-02-23,5354.673905947959
2025-02-24,5474.941237695209
2025-02-25,5606.294646088375
2025-02-26,5745.685888597649
2025-02-27,5901.23021381079
2025-02-28,6167.661267662604
2025-03-01,6364.643930335971
2025-03-02,6580.269227073686
2025-03-03,6445.723935613746
2025-03-04,6620.131402730336
2025-03-05,6807.926608216559
2025-03-06,6860.9386730610995
2025-03-07,6632.532366012213
2025-03-08,6416.6936262729305
2025-03-09,6620.512247879766
2025-03-10,6822.667734709686
2025-03-11,6725.709182987193
2025-03-12,6818.678906991375
2025-03-13,6620.593555151557
2025-03-14,6425.958984726925
2025-03-15,6614.845565265578
2025-03-16,6819.5042707882785
2025-03-17,7114.277685237723
2025-03-18,7412.502381228375
2025-03-19,7499.669927743036
2025-03-20,7736.025070213235
2025-03-21,7953.91443662854
2025-03-22,7845.618988267563
2025-03-23,8053.573897625282
2025-03-24,7779.2277797307
2025-03-25,7499.681838480535
2025-03-26,7254.936410827434
2025-03-27,7170.092931674707
2025-03-28,7391.26038005957
2025-03-29,7610.111935426254
2025-03-30,7859.4573329672685
2025-03-31,8086.416094157376
2025-04-01,8382.423216406156
2025-04-02,8657.096897998797
2025-04-03,8375.249445739602
2025-04-04,8112.491547481906
2025-04-05,8364.72232592094
2025-04-06,8747.059035938677
2025-04-07,9063.171734663858
2025-04-08,9342.41004682668
2025-04-09,9688.167388686703
2025-04-10,10036.303568977868
2025-04-11,10097.814222487365
2025-04-12,10414.17570947497
2025-04-13,10103.198884868589
2025-04-14,10098.535265197097
2025-04-15,10323.35192223434
2025-04-16,10011.278031262347
2025-04-17,10177.625536967906
2025-04-18,9825.063785328564
2025-04-19,9511.631472776678
2025-04-20,9821.566604289777
2025-04-21,10170.917555662429
2025-04-22,10535.228998793831
2025-04-23,10933.852538683437
2025-04-24,10709.87174217162
2025-04-25,11060.038255232033
2025-04-26,11516.361705132567
2025-04-27,11925.191765378715
2025-04-28,11870.063671429865
2025-04-29,11664.339249724317
2025-04-30,12021.793851670096
2025-05-01,11557.67957945799
2025-05-02,11379.313978606007
2025-05-03,11417.612775332804
2025-05-04,11758.920870747505
2025-05-05,11386.415467333556
2025-05-06,11775.568991392443
2025-05-07,11619.11731729725
2025-05-08,11228.453026874166
2025-05-09,10852.455947900704
2025-05-10,11287.763497025988
2025-05-11,10889.50664530178
2025-05-12,10425.376297183093
2025-05-13,10022.510175523026
2025-05-14,9710.716312938595
2025-05-15,10066.444596928863
2025-05-16,10382.762113702647
2025-05-17,10721.831524870298
2025-05-18,11260.97361258458
2025-05-19,11754.007452919588
2025-05-20,12214.156129648432
2025-05-21,12988.891290022379
2025-05-22,13905.430305315913
2025-05-23,14704.676180051943
2025-05-24,15327.013800219896
2025-05-25,16044.513794452128
2025-05-26,16457.664141429268
2025-05-27,16165.112798701146
2025-05-28,15937.93582692563
2025-05-29,15950.847783310488
2025-05-30,15453.614964286291
2025-05-31,15991.885889403546
2025-06-01,16665.94043639855
2025-06-02,17055.736750986012
2025-06-03,16362.659051937993
2025-06-04,15706.440231124325
2025-06-05,15198.342856515143
2025-06-06,15002.927601059224
2025-06-07,14468.638500949244
2025-06-08,14573.179343937332
2025-06-09,14808.128521321587
2025-06-10,15381.994442980058
2025-06-11,14859.745875404986
2025-06-12,15469.381165321252
2025-06-13,16098.400561920058
2025-06-14,15484.09537827363
2025-06-15,15283.365361349253
2025-06-16,16007.141109118207
2025-06-17,16844.29616727595
2025-06-18,17599.587881050127
2025-06-19,18325.10785433228
2025-06-20,18961.887142063442
2025-06-21,18731.691959917636
2025-06-22,19366.702221706335
2025-06-23,20074.687139115085
2025-06-24,20725.858136037783
2025-06-25,20070.196154715533
