指标,历史值,合成值,相对误差%
mean,12169.924305126044,12242.223983752163,0.59
std,7081.123141944448,8320.488398600917,17.5
var,50142304.95138122,69230527.19125246,38.07
skew,1.2160801050688363,1.8807326278851082,54.66
kurtosis,4.5570654797589505,8.18782255859826,79.67
最大日流量,65533.10352567408,88713.04844853403,35.37
峰值系数,5.384840684511994,7.246481404544932,34.57
高流量频率,0.1000228154232261,0.1,-0.02
高流量平均值,27127.3451943156,31240.46875033921,15.16
高流量变异系数,0.17820415239453513,0.24173977194172908,35.65
丰水持续期均值,8.463320463320464,10.296191819464035,21.66
丰水持续期标准差,10.812424941604702,12.134358448999395,12.23
丰水持续期最大值,76.0,81.0,6.58
丰水持续期最小值,1.0,1.0,0.0
枯水持续期均值,3.825479930191972,2.2992125984251968,-39.9
枯水持续期标准差,5.714744148874602,3.8982711512073203,-31.79
枯水持续期最大值,64.0,82.0,28.12
枯水持续期最小值,1.0,1.0,0.0
