,synthetic_flow
2025-01-01,5689.674413205279
2025-01-02,5768.689907503359
2025-01-03,5874.158966068806
2025-01-04,5562.287320631248
2025-01-05,5787.468132898381
2025-01-06,5948.527633458354
2025-01-07,5801.093236545323
2025-01-08,5646.713625569299
2025-01-09,5616.933368762836
2025-01-10,5792.939104227217
2025-01-11,5986.768564189628
2025-01-12,5884.735165381042
2025-01-13,5699.730570764973
2025-01-14,5538.18285035489
2025-01-15,5850.324808109433
2025-01-16,5749.365378630633
2025-01-17,5681.032983922492
2025-01-18,5634.53116520148
2025-01-19,5693.613573837406
2025-01-20,5789.476020686746
2025-01-21,5917.528686767656
2025-01-22,5615.980936459701
2025-01-23,5930.089489772062
2025-01-24,5843.350598205169
2025-01-25,5764.54389975531
2025-01-26,5789.713824243247
2025-01-27,5772.049744517075
2025-01-28,5730.30664379064
2025-01-29,5658.7461825397295
2025-01-30,5594.406566595052
2025-01-31,5557.676815430583
2025-02-01,5531.78565501297
2025-02-02,5565.279664309539
2025-02-03,5586.340560355276
2025-02-04,5631.265341492999
2025-02-05,5592.229224151704
2025-02-06,5563.412907252916
2025-02-07,5617.996050992181
2025-02-08,5668.079474573167
2025-02-09,5620.508853885205
2025-02-10,5676.442106454477
2025-02-11,5753.701958734184
2025-02-12,5691.651257766005
2025-02-13,5652.83519285517
2025-02-14,5671.02691470314
2025-02-15,5622.281980503718
2025-02-16,5578.496374464453
2025-02-17,5544.854810682283
2025-02-18,5558.424151724413
2025-02-19,5530.670369986874
2025-02-20,5498.694563451418
2025-02-21,5459.143406381669
2025-02-22,5431.419023992758
2025-02-23,5471.901439466716
2025-02-24,5534.055637588955
2025-02-25,5589.289621649036
2025-02-26,5656.566218583062
2025-02-27,5738.739851667724
2025-02-28,5811.20522084648
2025-03-01,5912.0350819986215
2025-03-02,5601.691008624276
2025-03-03,5942.951374303761
2025-03-04,5632.62505916835
2025-03-05,5789.598418799417
2025-03-06,5838.560268244391
2025-03-07,5659.902608865712
2025-03-08,5952.055587623072
2025-03-09,5668.090698812953
2025-03-10,5836.253777898183
2025-03-11,5772.5129605367665
2025-03-12,5836.549822392483
2025-03-13,5674.297694651237
2025-03-14,5965.32083376964
2025-03-15,5684.055777858151
2025-03-16,5858.408807364892
2025-03-17,6086.752923549374
2025-03-18,6320.812420977988
2025-03-19,6492.780128776887
2025-03-20,6688.081423652105
2025-03-21,6873.342845308824
2025-03-22,6770.442831054901
2025-03-23,6935.739072912508
2025-03-24,6718.22741192491
2025-03-25,6502.384173590887
2025-03-26,6308.532010919804
2025-03-27,6332.09563443631
2025-03-28,6514.147785114434
2025-03-29,6693.287919079029
2025-03-30,6888.931778640448
2025-03-31,7028.706792083294
2025-04-01,7295.502551822279
2025-04-02,7547.6629747869465
2025-04-03,7308.172588713808
2025-04-04,7078.441902186891
2025-04-05,7292.304299978129
2025-04-06,7612.507443173551
2025-04-07,7877.222621909345
2025-04-08,8114.928446922521
2025-04-09,8414.998636800727
2025-04-10,8719.588533729688
2025-04-11,8772.953839781056
2025-04-12,9047.823473736591
2025-04-13,8770.252792517958
2025-04-14,8637.158916731727
2025-04-15,8900.64897939239
2025-04-16,8632.49461857376
2025-04-17,8864.8011128503
2025-04-18,8556.821892134873
2025-04-19,8279.17443750365
2025-04-20,8547.32018181646
2025-04-21,8855.184369809893
2025-04-22,9180.80499270417
2025-04-23,9541.286183975595
2025-04-24,9447.454657593149
2025-04-25,9749.158978459116
2025-04-26,10135.236761760203
2025-04-27,10480.547668171941
2025-04-28,10257.381579706858
2025-04-29,10133.394367984518
2025-04-30,10450.224182700511
2025-05-01,10059.0794699704
2025-05-02,9882.362195938571
2025-05-03,9956.780205717097
2025-05-04,10264.031235857405
2025-05-05,9938.952428383038
2025-05-06,10276.236333492643
2025-05-07,10118.119747344315
2025-05-08,9780.69572862037
2025-05-09,9453.417973909342
2025-05-10,9821.49920144447
2025-05-11,9478.511941236655
2025-05-12,9087.356328319896
2025-05-13,8740.275020258756
2025-05-14,8459.777813572735
2025-05-15,8756.562035505367
2025-05-16,9026.555938645131
2025-05-17,9317.4855364561
2025-05-18,9768.117880687198
2025-05-19,10188.599856009558
2025-05-20,10587.89518781669
2025-05-21,11225.490412136003
2025-05-22,11967.184519858183
2025-05-23,12630.148292081944
2025-05-24,13164.697946033859
2025-05-25,13780.075819091402
2025-05-26,14410.227710162719
2025-05-27,14158.955865931399
2025-05-28,13823.893366528284
2025-05-29,13875.86819368858
2025-05-30,13439.023410340109
2025-05-31,13908.839898826225
2025-06-01,14792.54525759832
2025-06-02,15416.736798725662
2025-06-03,14489.12285444539
2025-06-04,13728.60291809604
